iter	RMSE
450	0.1001038125
451	0.1000845431
452	0.1000408377
453	0.1000082291
454	0.0999875251
455	0.09994393675
456	0.09990959923
457	0.09983790081
458	0.09981127116
459	0.09977109032
460	0.09970060835
461	0.09969586692
462	0.09966552545
463	0.09965451916
464	0.09962263803
465	0.09957591965
466	0.09953820825
467	0.09948846376
468	0.09943020801
469	0.09940118309
470	0.09936298775
471	0.09935144183
472	0.09932039875
473	0.09929173047
474	0.09924425261
475	0.09922204121
476	0.09918987767
477	0.09915321875
478	0.09913813343
479	0.09913039691
480	0.09908201313
481	0.09904706153
482	0.09901037115
483	0.0989989989
484	0.09896903787
485	0.09894648891
486	0.09893260916
487	0.09891254134
488	0.0988896355
489	0.09887610943
490	0.09884139431
491	0.09883049737
492	0.09880661049
493	0.09879153797
494	0.09873061159
495	0.09870317009
496	0.09868255519
497	0.0986684284
498	0.09866252187
499	0.09862359617
